outcome,sample,timing,control_group,event_time,estimate,se,ci_low,ci_high
n_stem,combined_us_europe,alternative_decade,notyettreated,-60,-3.809932662788943,1.425046335462798,-6.603023480296027,-1.016841845281859
n_stem,combined_us_europe,alternative_decade,notyettreated,-50,-3.7140163630085112,1.458305813434954,-6.572295757341021,-0.8557369686760015
n_stem,combined_us_europe,alternative_decade,notyettreated,-40,-2.2183284809167567,1.2464663147235753,-4.661402457774964,0.224745495941451
n_stem,combined_us_europe,alternative_decade,notyettreated,-30,-1.2966827555524862,0.7675076161372066,-2.800997683181411,0.2076321720764387
n_stem,combined_us_europe,alternative_decade,notyettreated,-20,-0.7500093664053104,0.75313308208855,-2.2261502072988684,0.7261314744882476
n_stem,combined_us_europe,alternative_decade,notyettreated,-10,0,NA,NA,NA
n_stem,combined_us_europe,alternative_decade,notyettreated,0,1.9003500962052688,0.6366270626057329,0.6525610534980324,3.148139138912505
n_stem,combined_us_europe,alternative_decade,notyettreated,10,2.413239213318583,0.8548792835680346,0.7376758175252354,4.088802609111931
n_stem,combined_us_europe,alternative_decade,notyettreated,20,3.675131514253987,1.0558951578890527,1.6055770047914435,5.744686023716531
n_stem,combined_us_europe,alternative_decade,notyettreated,30,5.18346859931932,1.546044465958803,2.153221446040066,8.213715752598574
n_stem,combined_us_europe,alternative_decade,notyettreated,40,7.002423971645405,2.1516538980057485,2.7851823315541386,11.219665611736673
n_stem,combined_us_europe,alternative_decade,notyettreated,50,9.119635718522723,2.3754099325890463,4.463832250648192,13.775439186397254
n_stem,combined_us_europe,alternative_decade,notyettreated,60,6.482908233478196,1.6224374191592748,3.3029308919260174,9.662885575030375
n_stem,combined_us_europe,alternative_decade,notyettreated,70,4.156747621486959,2.178133874055264,-0.11239477166135803,8.425890014635275
log1p_n_stem,combined_us_europe,alternative_decade,notyettreated,-70,-0.6257645391983075,0.11601995458401966,-0.853163650182986,-0.398365428213629
log1p_n_stem,combined_us_europe,alternative_decade,notyettreated,-60,-0.465445355150651,0.0969594552994403,-0.655485887537554,-0.275404822763748
log1p_n_stem,combined_us_europe,alternative_decade,notyettreated,-50,-0.43996262105387207,0.10096088661375996,-0.6378459588168416,-0.24207928329090256
log1p_n_stem,combined_us_europe,alternative_decade,notyettreated,-40,-0.20579507891174223,0.08286498357531408,-0.3682104467193578,-0.04337971110412664
log1p_n_stem,combined_us_europe,alternative_decade,notyettreated,-30,-0.058766247547152164,0.08993376205597162,-0.23503642117685652,0.11750392608255221
log1p_n_stem,combined_us_europe,alternative_decade,notyettreated,-20,-0.02531480303892281,0.07554536051372913,-0.1733837096458319,0.1227541035679863
