sample,design,spec,outcome,lead_m60,se_m60,lead_m40,se_m40,lead_m20,se_m20
Not-yet-only controls,County of school,Any exposure,STEM share smoothed (pp),3.03247446084169,5.258534495383711,2.734611949428585,4.972711146713509,5.0655731493550356,4.740174610130558
Not-yet-only controls,County of school,Any exposure,STEM share zero-filled (pp),8.158564890484328,6.484219870330481,4.457169890620989,7.014323110820283,5.152519000956877,6.70995973316674
Not-yet-only controls,County of school,High-access first exposure,Any STEM birth (pp),33.33333333333333,32.946715966791146,NA,NA,9.917355371900829,15.03766337327245
Not-yet-only controls,County of school,High-access first exposure,STEM births (count),-7.166666666666665,11.078333243833523,-2.3571428571428577,3.993948833525295,-2.7916666666666665,3.665109427158002
Not-yet-only controls,County of school,High-access first exposure,STEM share smoothed (pp),14.590252191058639,26.024314440717898,-7.21285083324254,22.740973229634545,2.1820497253772535,10.509090053939287
Not-yet-only controls,County of school,High-access first exposure,STEM share zero-filled (pp),37.11225950377349,34.83625950859336,1.2688308825001182,3.079926782359465,5.971143539198625,14.140465242327094
Not-yet-only controls,County of school,Low-access first exposure,Any STEM birth (pp),7.37424869163791,9.978858665988065,9.324727854863976,8.254658787963207,3.701106329577459,9.599413257358878
Not-yet-only controls,County of school,Low-access first exposure,STEM births (count),-0.21477877825262243,0.29678251644944736,-0.0855921165821016,0.25278604894844553,0.22990808569122462,0.18274066493034744
Not-yet-only controls,County of school,Low-access first exposure,STEM share smoothed (pp),4.002052992733097,6.0045482620136275,5.054673843552307,5.685324166355421,5.069146397073397,5.349115679999456
Not-yet-only controls,County of school,Low-access first exposure,STEM share zero-filled (pp),7.92244207672445,6.658235718668758,6.131732399810118,7.2383305732678584,4.344878870543288,7.4925040401742775
