design,spec,outcome,event_time,att,se,conf_low,conf_high
County of school,Low-access first exposure,STEM share zero-filled (pp),-50,-4.557656305477447,5.5389006677158115,-15.413901614200437,6.298589003245543
County of school,Low-access first exposure,STEM share zero-filled (pp),-40,-3.0282035629175645,5.867043614511332,-14.527609047359775,8.471201921524646
County of school,Low-access first exposure,STEM share zero-filled (pp),-30,1.097681958962088,6.036844198004775,-10.73453266912727,12.929896587051447
County of school,Low-access first exposure,STEM share zero-filled (pp),-20,3.0058735278648543,5.656858659507054,-8.08156944476897,14.09331650049868
County of school,Low-access first exposure,STEM share zero-filled (pp),0,16.937036970347474,5.3638526950276715,6.423885688093238,27.450188252601713
County of school,Low-access first exposure,STEM share zero-filled (pp),10,4.200501582847592,6.1098693297248525,-7.77484230341312,16.175845469108303
County of school,Low-access first exposure,STEM share zero-filled (pp),20,12.179782081434796,5.964792091083543,0.48878958291105334,23.87077457995854
County of school,Low-access first exposure,STEM share zero-filled (pp),30,11.380347409545074,6.681502557328669,-1.7153976028191167,24.476092421909264
County of school,Low-access first exposure,STEM share zero-filled (pp),40,12.220985656356923,5.90417383651657,0.6488049367844457,23.793166375929403
County of school,Low-access first exposure,STEM share zero-filled (pp),50,20.261561556240217,5.736468202843828,9.018083878666314,31.50503923381412
County of school,Low-access first exposure,STEM share zero-filled (pp),60,5.6289947241676215,5.71871845759075,-5.579693452710248,16.83768290104549
County of school,Low-access first exposure,STEM share smoothed (pp),-60,-10.418220648485129,4.711979789284559,-19.653701035482865,-1.1827402614873925
County of school,Low-access first exposure,STEM share smoothed (pp),-50,-6.8189760322502835,4.524912964699952,-15.68780544306219,2.0498533785616235
County of school,Low-access first exposure,STEM share smoothed (pp),-40,-4.198994108622055,4.285242168525907,-12.598068758932833,4.200080541688723
County of school,Low-access first exposure,STEM share smoothed (pp),-30,-1.923334773865091,4.421182275924405,-10.588852034676925,6.742182486946743
County of school,Low-access first exposure,STEM share smoothed (pp),-20,2.966734017752507,4.228651991647335,-5.32142388587627,11.254891921381283
County of school,Low-access first exposure,STEM share smoothed (pp),0,11.626319431578823,3.910579112025872,3.9615843720081143,19.29105449114953
County of school,Low-access first exposure,STEM share smoothed (pp),10,3.608793811862824,4.468340724046518,-5.149154007268351,12.366741630994
County of school,Low-access first exposure,STEM share smoothed (pp),20,9.922878830284937,4.428293267376206,1.243424026227574,18.6023336343423
County of school,Low-access first exposure,STEM share smoothed (pp),30,9.13884048154487,4.95022456506462,-0.5635996659817852,18.841280629071527
County of school,Low-access first exposure,STEM share smoothed (pp),40,9.159482747017162,4.220309133267385,0.8876768458130879,17.431288648221233
County of school,Low-access first exposure,STEM share smoothed (pp),50,16.2433998801465,4.4783923715594565,7.465750831889967,25.021048928403037
County of school,Low-access first exposure,STEM share smoothed (pp),60,3.8320833393904645,4.578574225342082,-5.1419221422800145,12.806088821060944
County of school,Low-access first exposure,STEM births (count),-60,-0.842246901042973,0.29479525123662625,-1.4200455934667604,-0.2644482086191855
County of school,Low-access first exposure,STEM births (count),-50,-0.5660682526096094,0.30450097774812157,-1.1628901689959277,0.03075366377670896
County of school,Low-access first exposure,STEM births (count),-40,-0.533886375801585,0.2736447894748207,-1.0702301631722335,0.002457411569063428
County of school,Low-access first exposure,STEM births (count),-30,-0.3205951496190101,0.23394152763492576,-0.7791205437834645,0.1379302445454444
County of school,Low-access first exposure,STEM births (count),-20,0.048599589662287085,0.18235392064987607,-0.30881409481147004,0.40601327413604416
County of school,Low-access first exposure,STEM births (count),0,0.6630155302441466,0.38178207766392075,-0.08527734197713799,1.4113084024654312
County of school,Low-access first exposure,STEM births (count),10,1.6274148400029302,1.096945403651189,-0.5225981511533999,3.7774278311592604
County of school,Low-access first exposure,STEM births (count),20,1.8558300245748964,0.8503120834664654,0.1892183409806243,3.5224417081691684
County of school,Low-access first exposure,STEM births (count),30,3.2836605463546467,1.1342644671155213,1.0605021908082248,5.5068189019010685
County of school,Low-access first exposure,STEM births (count),40,3.7175131363041083,1.209598025729398,1.3467010058744884,6.088325266733728
County of school,Low-access first exposure,STEM births (count),50,3.7716968174770766,1.446867917229305,0.9358356997076389,6.607557935246515
