design,outcome,estimator,event_time,att,se,conf_low,conf_high
County of school,STEM share zero-filled (pp),Wooldridge ETWFE,-40,14.758870993693321,3.390899669122658,8.112707642212913,21.405034345173732
County of school,STEM share zero-filled (pp),Wooldridge ETWFE,-30,18.261256007731813,3.2739531698228874,11.844307794878954,24.67820422058467
County of school,STEM share zero-filled (pp),Wooldridge ETWFE,-20,21.671536114580192,3.2304758550067185,15.339803438767024,28.00326879039336
County of school,STEM share zero-filled (pp),Wooldridge ETWFE,-10,18.89569990742923,3.2304766996771734,12.56396557606197,25.22743423879649
County of school,STEM share zero-filled (pp),Wooldridge ETWFE,0,32.950520551955904,3.230478102938653,26.618783470196146,39.282257633715666
County of school,STEM share zero-filled (pp),Wooldridge ETWFE,10,21.416005684957884,3.230476447877228,15.084271847118519,27.74773952279725
County of school,STEM share zero-filled (pp),Wooldridge ETWFE,20,31.015044135074525,3.2304767290425507,24.683309746151124,37.346778523997926
County of school,STEM share zero-filled (pp),Wooldridge ETWFE,30,29.746688073188878,3.2304762986376914,23.414954527859003,36.07842161851875
County of school,STEM share zero-filled (pp),Wooldridge ETWFE,40,29.721313255166734,3.230476307863814,23.38957969175366,36.05304681857981
County of school,STEM share zero-filled (pp),Wooldridge ETWFE,50,37.4713404531978,3.2304761428533824,31.139607213205167,43.80307369319043
County of school,STEM share zero-filled (pp),Wooldridge ETWFE,60,22.49236556398245,3.2304769587057343,16.16063072491921,28.82410040304569
50 km radius,STEM births (count),Callaway-Sant'Anna DR,-60,-0.3100329612234412,0.14046829662145582,-0.5853508226014946,-0.03471509984538779
50 km radius,STEM births (count),Callaway-Sant'Anna DR,-50,-0.24627496027996265,0.11216899304872231,-0.46612618665545835,-0.026423733904466923
50 km radius,STEM births (count),Callaway-Sant'Anna DR,-40,-0.20935209816962155,0.08208178799049641,-0.37023240263099455,-0.048471793708248584
50 km radius,STEM births (count),Callaway-Sant'Anna DR,-30,-0.20548331667197178,0.07333074731907771,-0.3492115814173641,-0.061755051926579485
50 km radius,STEM births (count),Callaway-Sant'Anna DR,-20,-0.03249007552698222,0.051480401976380714,-0.13339166340068842,0.06841151234672396
50 km radius,STEM births (count),Callaway-Sant'Anna DR,0,0.042896086781145065,0.05626335773107342,-0.06738009437175883,0.15317226793404898
50 km radius,STEM births (count),Callaway-Sant'Anna DR,10,0.11764783978011398,0.07180096351637108,-0.023082048711973335,0.2583777282722013
50 km radius,STEM births (count),Callaway-Sant'Anna DR,20,0.27974128608130255,0.07982079126711679,0.12329253519775366,0.4361900369648515
50 km radius,STEM births (count),Callaway-Sant'Anna DR,30,0.48931626849553705,0.1516285739532346,0.19212426354719725,0.7865082734438769
50 km radius,STEM births (count),Callaway-Sant'Anna DR,40,0.874169234015248,0.3103820030254196,0.2658205080854257,1.4825179599450704
50 km radius,STEM births (count),Callaway-Sant'Anna DR,50,1.3280646474530804,0.7154448327153319,-0.07420722466897,2.730336519575131
50 km radius,STEM births (count),Callaway-Sant'Anna DR,60,1.0496088584855612,0.5576751861105829,-0.043434506291181174,2.1426522232623038
50 km radius,STEM births (count),BJS imputation,-60,-0.005071260573415781,0.036944342681456736,-0.07748217222907099,0.06733965108223942
50 km radius,STEM births (count),BJS imputation,-50,0.03671972872416715,0.030390373761820758,-0.022845403849001536,0.09628486129733584
50 km radius,STEM births (count),BJS imputation,-40,0.06383184672699092,0.0339884507323209,-0.0027855167083580407,0.1304492101623399
50 km radius,STEM births (count),BJS imputation,-30,0.06553572171725885,0.035062343454221045,-0.0031864714530144,0.1342579148875321
50 km radius,STEM births (count),BJS imputation,-20,0.2379670287948048,0.06447007855120059,0.11160567483445166,0.36432838275515794
50 km radius,STEM births (count),BJS imputation,-10,0.2748065601831118,0.08174883541007404,0.11457884277936667,0.43503427758685687
50 km radius,STEM births (count),BJS imputation,0,0.2065663613901544,0.05735556597363813,0.09414945208182368,0.31898327069848514
50 km radius,STEM births (count),BJS imputation,10,0.2831323106375583,0.07227990987182431,0.14146368728878264,0.4248009339863339
50 km radius,STEM births (count),BJS imputation,20,0.4450033999749191,0.10136756699148741,0.24632296867160378,0.6436838312782345
50 km radius,STEM births (count),BJS imputation,30,0.6542522962245374,0.17289655982536534,0.31537503896682134,0.9931295534822535
50 km radius,STEM births (count),BJS imputation,40,1.038809581630622,0.31502929872789665,0.4213521561239446,1.6562670071372994
50 km radius,STEM births (count),BJS imputation,50,1.4923348307387971,0.550650226977259,0.4130603858633697,2.5716092756142244
50 km radius,STEM births (count),BJS imputation,60,1.213633740633818,0.46516685641738975,0.3019067020557341,2.125360779211902
50 km radius,STEM births (count),Wooldridge ETWFE,-60,0.1522565343250309,0.13384109843625894,-0.11007201861003663,0.4145850872600984
50 km radius,STEM births (count),Wooldridge ETWFE,-50,0.09799420586899968,5601.533122755256,-10978.906926394433,10979.102914806172
50 km radius,STEM births (count),Wooldridge ETWFE,-40,0.12204056028264261,5401.478267642513,-10586.775364019042,10587.01944513961
50 km radius,STEM births (count),Wooldridge ETWFE,-30,0.12644619634432322,4958.734214701919,-9718.992614619418,9719.245507012105
