outcome,sample,timing,control_spec,control_group,event_time,estimate,se,ci_low,ci_high
log1p_n_stem,europe_lau,standard_decade,population_level,notyettreated,50,0.33503947415723134,0.1420035203842734,0.056712574204055455,0.6133663741104072
log1p_n_stem,europe_lau,standard_decade,population_level,notyettreated,60,0.40281272482901775,0.12805043812553316,0.15183386610297278,0.6537915835550627
log1p_n_stem,europe_lau,standard_decade,population_level,notyettreated,70,0.15616753083179422,0.13660665477364206,-0.11158151252454421,0.42391657418813267
inventors_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,-70,-2.2238528823649966,2.1536551749153827,-6.445017025199146,1.9973112604691532
inventors_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,-60,-0.1608680757978211,1.9443252442813415,-3.9717455545892504,3.650009402993608
inventors_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,-50,-0.6704615624048297,1.737037998712029,-4.0750560398804065,2.734132915070747
inventors_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,-40,-0.305238731797633,1.5776148982974745,-3.397363932460683,2.786886468865417
inventors_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,-30,2.5111510414466145,1.3717194461527307,-0.17741907301273763,5.199721155905967
inventors_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,-20,0.8079517260663491,1.381476871583817,-1.8997429422379322,3.5156463943706306
inventors_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,-10,0,NA,NA,NA
inventors_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,0,0.46646214118354085,1.0954200402376477,-1.6805611376822487,2.6134854200493303
inventors_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,10,-1.3165825000720826,0.9979674273856544,-3.272598657747965,0.6394336576038
inventors_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,20,-2.8705081506202137,1.3423928049579064,-5.50159804833771,-0.23941825290271712
inventors_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,30,-3.064646389274381,1.4118583051986733,-5.83188866746378,-0.29740411108498144
inventors_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,40,-2.617086377272418,1.5673945911951919,-5.689179776014994,0.4550070214701578
inventors_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,50,-3.252500526568445,1.4794704391269264,-6.152262587257221,-0.35273846587966906
inventors_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,60,-4.2523507336513315,1.6141425975463801,-7.416070224842237,-1.0886312424604268
inventors_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,70,-4.684302880056888,1.6007932186662965,-7.82185758864283,-1.5467481714709472
stem_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,-70,-0.35513565967003125,0.826426140743622,-1.9749308955275302,1.2646595761874677
