fair_row_id,Year,City,Country,Fair_name,event_year,in_treatment_window,lat,lon,geonameid,matched_name,matched_country_iso3,assigned_unit_type,assigned_unit_id,assigned_lau_id,fair_lau_iso2,fair_lau_name,europe_place_name,europe_country,europe_iso3,match_status
525,2017,Astana,Kazakhstan,Expo 2017,2017,FALSE,51.1801,71.44598,1526273,Astana,KAZ,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
526,2019,Beijing,China,Expo 2019,2019,FALSE,39.9075,116.39723,1816670,Beijing,CHN,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
527,2021-2022,Dubai,United Arab Emirates,Expo 2020,2021,FALSE,25.07725,55.30927,292223,Dubai,ARE,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
528,2022,Almere,Netherlands,Floriade 2022,2022,FALSE,52.37025,5.21413,2759879,Almere Stad,NLD,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
529,2023,Buenos Aires,Argentina,cancelled,2023,FALSE,-34.61315,-58.37723,3435910,Buenos Aires,ARG,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
530,2023-2024,Doha,Qatar,Expo 2023,2023,FALSE,25.28545,51.53096,290030,Doha,QAT,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
531,2025,Osaka,Japan,Expo 2025,2025,FALSE,34.69379,135.50107,1853909,Osaka,JPN,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
532,2027,Yokohama,Japan,Expo 2027,2027,FALSE,35.43333,139.65,1848354,Yokohama,JPN,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
533,2027,Belgrade,Serbia,Expo 2027,2027,FALSE,44.80401,20.46513,792680,Belgrade,SRB,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
534,2027,İzmir,Türkiye,NA,2027,FALSE,38.41273,27.13838,311046,İzmir,TUR,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
535,2029-2030,Nakhon Ratchasima,Thailand,Expo 2029,2029,FALSE,14.97066,102.10196,1608529,Nakhon Ratchasima,THA,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
536,2030,Riyadh,Saudi Arabia,Expo 2030,2030,FALSE,24.68773,46.72185,108410,Riyadh,SAU,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
537,2031,Minnesota,United States,Expo 2031,2031,FALSE,31.31185,-83.91018,4209662,Minnesota,USA,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
538,1790,Hamburg,Germany,Hamburg Crafts Exhibition,1790,FALSE,53.55073,9.99302,2911298,Hamburg,DEU,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
