outcome,sample,timing,control_group,event_time,estimate,se,ci_low,ci_high
inventors_per_100k_pop,europe_lau,alternative_decade,notyettreated,40,-2.474007574783933,1.5332525949082838,-5.479182660804169,0.531167511236303
inventors_per_100k_pop,europe_lau,alternative_decade,notyettreated,50,-2.8531496791728648,1.4532402947150118,-5.701500656814288,-0.004798701531441463
inventors_per_100k_pop,europe_lau,alternative_decade,notyettreated,60,-3.838926621169919,1.5221531164473718,-6.8223467294067675,-0.8555065129330703
inventors_per_100k_pop,europe_lau,alternative_decade,notyettreated,70,-4.373227685157198,1.7069736215673537,-7.718895983429211,-1.0275593868851844
stem_per_100k_pop,europe_lau,alternative_decade,notyettreated,-70,-0.4600365817594462,0.8688543853725236,-2.162991177089592,1.2429180135707
stem_per_100k_pop,europe_lau,alternative_decade,notyettreated,-60,0.7002026806147316,1.031952604794218,-1.3224244247819357,2.722829786011399
stem_per_100k_pop,europe_lau,alternative_decade,notyettreated,-50,-0.4564814659450943,0.788672680006306,-2.002279918757454,1.0893169868672654
stem_per_100k_pop,europe_lau,alternative_decade,notyettreated,-40,0.9412067323560327,0.8493547953623679,-0.7235286665542084,2.605942131266274
stem_per_100k_pop,europe_lau,alternative_decade,notyettreated,-30,0.9042346907556351,0.7762110381199747,-0.6171389439595154,2.425608325470786
stem_per_100k_pop,europe_lau,alternative_decade,notyettreated,-20,0.21048015830783526,0.7613825531344923,-1.2818296458357696,1.7027899624514402
stem_per_100k_pop,europe_lau,alternative_decade,notyettreated,-10,0,NA,NA,NA
stem_per_100k_pop,europe_lau,alternative_decade,notyettreated,0,0.6056535926373062,0.6565901308017432,-0.6812630637341105,1.892570249008723
stem_per_100k_pop,europe_lau,alternative_decade,notyettreated,10,0.26027049399011737,0.6279206656409491,-0.9704540106661427,1.4909949986463773
stem_per_100k_pop,europe_lau,alternative_decade,notyettreated,20,-0.5099511314527273,0.6129599233043437,-1.711352581129241,0.6914503182237862
