wikidata_code,birth,bplo1,bpla1,level1_main_occ,level3_main_occ,level3_all_occ,level3_occ,stem,GEOID,birth_decade,father_uri,father_occ,mother_uri,schools_uris,has_father,has_mother,has_school,has_father_occ
Q15447222,1926,-73.77861022949219,41.04000091552734,Discovery/Science,chemist,D:_chemist_engineer_academic_P:_scientist_ceramic_scientist_English_wissenschaftler_keramik_German,chemist,1,36119,1920,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE
Q932344,1869,-79,37.5,Discovery/Science,mathematician,D:_inventor_engineer_P:_mathematician_physicist_inventor_English_mathématicien_physicien_inventeur_French_mathematiker_physiker_erfinder_German_matemátic_físic_inventor_Spanish_matemátic_físic_inventor_Portuguese,mathematician,1,51009,1860,NA,NA,NA,http://www.wikidata.org/entity/Q49088|http://www.wikidata.org/entity/Q193727|http://www.wikidata.org/entity/Q5149700|http://www.wikidata.org/entity/Q5149833,FALSE,FALSE,TRUE,FALSE
Q52745832,1928,-123.0288925170898,44.93083190917969,Discovery/Science,physicist,D:_physicist_P:_physiker_German,physicist,1,41047,1920,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE
Q2732009,1917,-74,40.70000076293945,Discovery/Science,physicist,D:_physicist_P:_physiker_German,physicist,1,36047,1910,NA,NA,NA,http://www.wikidata.org/entity/Q174710,FALSE,FALSE,TRUE,FALSE
Q1327507,1903,-100,41.5,Discovery/Science,engineer,D:_engineer_P:_ingenieur_German,engineer,1,31041,1900,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE
Q931297,1944,-81.80027770996094,41.4808349609375,Discovery/Science,mathematician,D:_mathematician_academic_P:_mathematician_invention_congress_English_mathématicien_French_mathematiker_German_matemátic_Portuguese,mathematician,1,39035,1940,NA,NA,NA,http://www.wikidata.org/entity/Q13371|http://www.wikidata.org/entity/Q1378320,FALSE,FALSE,TRUE,FALSE
Q1938029,1873,-80.7699966430664,41.02000045776367,Discovery/Science,physicist,D:_physicist_astronomer_P:_physicist_English_physicien_French_astronomo_fisico_Italian_physiker_astronom_forschung_German_físic_Spanish_físic_Portuguese,physicist,1,39099,1870,NA,NA,NA,http://www.wikidata.org/entity/Q49115,FALSE,FALSE,TRUE,FALSE
Q6176327,1955,-90.0750732421875,29.95465087890625,Discovery/Science,computer_scientist,D:_computer_scientist_engineer_P:_computer scientist_scientist_academic_English,computer_scientist,1,22071,1950,NA,NA,NA,http://www.wikidata.org/entity/Q41506|http://www.wikidata.org/entity/Q168751|http://www.wikidata.org/entity/Q178848|http://www.wikidata.org/entity/Q5244527,FALSE,FALSE,TRUE,FALSE
Q1785975,1946,-118.2436828613281,34.05223083496094,Discovery/Science,physicist,D:_physicist_academic_P:_physicist_English_physiker_German,physicist,1,06037,1940,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE
Q1700332,1928,-74,40.70000076293945,Discovery/Science,engineer,D:_engineer_P:_ingenieur_German,engineer,1,36047,1920,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE
Q5869109,1892,-95.67803955078125,39.0483283996582,Discovery/Science,botanist,D:_botanist_P:_ employee_employee_explorer_English_botánic_agrónom_científic_Spanish,botanist,1,20177,1890,NA,NA,NA,http://www.wikidata.org/entity/Q7227384,FALSE,FALSE,TRUE,FALSE
Q5892357,1886,-110,47,Discovery/Science,botanist,D:_botanist_P:_botanist_biochemist_chemist_English_bioquímic_químic_botánic_Spanish,botanist,1,30045,1880,NA,NA,NA,http://www.wikidata.org/entity/Q13371,FALSE,FALSE,TRUE,FALSE
Q2938952,1918,-86.1580581665039,39.76861190795898,Discovery/Science,botanist,D:_botanist_P:_botaniste_French_botaniker_forscher_offiziell_German_botánic_Spanish_botânico_Portuguese,botanist,1,18097,1910,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE
Q21558134,1989,-79.04991912841797,35.90730667114258,Discovery/Science,academic,D:_academic_mathematician_P:_mathematician_professor_mathematics_English_mathematiker_German_matemátic_Portuguese,mathematician,1,37135,1980,http://www.wikidata.org/entity/Q102123385,http://www.wikidata.org/entity/Q170790,NA,http://www.wikidata.org/entity/Q21578|http://www.wikidata.org/entity/Q41506|http://www.wikidata.org/entity/Q5316461,TRUE,FALSE,TRUE,TRUE
Q16785350,1880,-87.6500473022461,41.85002899169922,Discovery/Science,geologist,D:_geologist_academic_P:_geologe_German,geologist,1,17031,1880,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE
Q5258874,1938,-82.5,40.5,Discovery/Science,engineer,D:_engineer_P:_engineer_English,engineer,1,39083,1930,NA,NA,NA,http://www.wikidata.org/entity/Q270222|http://www.wikidata.org/entity/Q309331,FALSE,FALSE,TRUE,FALSE
Q6241026,1942,-70.94999694824219,42.46666717529297,Discovery/Science,computer_scientist,D:_computer_scientist_engineer_P:_management_professor_chief executive_English,computer_scientist,1,25009,1940,NA,NA,NA,http://www.wikidata.org/entity/Q49108|http://www.wikidata.org/entity/Q49112|http://www.wikidata.org/entity/Q49120|http://www.wikidata.org/entity/Q5378283|http://www.wikidata.org/entity/Q7851548|http://www.wikidata.org/entity/Q8047425,FALSE,FALSE,TRUE,FALSE
Q15229573,1951,-97.4394760131836,35.22258377075195,Discovery/Science,mathematician,D:_mathematician_academic_P:_professor_mathematics_scholar_English_mathematiker_professor_German,mathematician,1,40027,1950,NA,NA,NA,http://www.wikidata.org/entity/Q49112|http://www.wikidata.org/entity/Q616591,FALSE,FALSE,TRUE,FALSE
Q4863955,1960,-84.12848663330078,36.10477066040039,Discovery/Science,geographer,D:_geographer_P:_author_studies_professor_English,geographer,1,47001,1960,NA,NA,NA,http://www.wikidata.org/entity/Q192775|http://www.wikidata.org/entity/Q1070333|http://www.wikidata.org/entity/Q1474105|http://www.wikidata.org/entity/Q7700206,FALSE,FALSE,TRUE,FALSE
Q7788867,1956,-84.39027404785156,33.75694274902344,Discovery/Science,engineer,D:_engineer_P:_inventor_band_intellectual_English,engineer,1,13121,1950,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE
Q10953,1919,-73.9941635131836,40.72833251953125,Discovery/Science,programmer,D:_librarian_computer_scientist_engineer_programmer_P:_programmer_analyst_congress_English_ingénieur_analyste_French_programmierer_bibliothekar_German_bibliotecari_programador_congreso_Spanish_programmerare_bibliograf_Swedish,programmer,1,36061,1910,NA,NA,NA,http://www.wikidata.org/entity/Q432637|http://www.wikidata.org/entity/Q1446181,FALSE,FALSE,TRUE,FALSE
Q1336455,1950,-76.14442443847656,43.04689788818359,Discovery/Science,astronaut,D:_astronaut_chemist_academic_P:_biochemist_chemist_basket_English_astronaute_French_biochimico_chimico_astronauta_Italian_astronaut_German_astronauta_bioquímic_químic_Portuguese,astronaut,1,36067,1950,NA,NA,NA,http://www.wikidata.org/entity/Q1472663,FALSE,FALSE,TRUE,FALSE
Q1900153,1945,-74,40.70000076293945,Discovery/Science,mathematician,D:_mathematician_academic_P:_professor_mathematics_professor_English_mathematiker_German,mathematician,1,36047,1940,NA,NA,NA,http://www.wikidata.org/entity/Q49108|http://www.wikidata.org/entity/Q149990,FALSE,FALSE,TRUE,FALSE
Q7298945,1934,-118.2436828613281,34.05223083496094,Discovery/Science,physicist,D:_physicist_P:_physicist_administrator_secretary_English,physicist,1,06037,1930,NA,NA,NA,http://www.wikidata.org/entity/Q168756|http://www.wikidata.org/entity/Q1075148,FALSE,FALSE,TRUE,FALSE
