spec,outcome,estimator,conf_low,conf_high,event_time,att,se
High access vs all other counties,"STEM births per 1,000 est. births",Wooldridge ETWFE + county pre-period trend,-0.022974234792104087,-0.004527671719091804,-40,-0.013750953255597945,0.004705755885972521
High access vs all other counties,"STEM births per 1,000 est. births",Wooldridge ETWFE + county pre-period trend,0.016383022028897368,0.04105385771040632,-30,0.028718439869651845,0.006293580530997183
High access vs all other counties,"STEM births per 1,000 est. births",Wooldridge ETWFE + county pre-period trend,-0.009958049788754373,0.015640071055021583,-20,0.002841010633133606,0.006530132868310193
High access vs all other counties,"STEM births per 1,000 est. births",Wooldridge ETWFE + county pre-period trend,0,0,-10,0,0
High access vs all other counties,"STEM births per 1,000 est. births",Wooldridge ETWFE + county pre-period trend,-0.04732692163531804,0.03270730903920123,0,-0.007309806298058403,0.020416895580234507
High access vs all other counties,"STEM births per 1,000 est. births",Wooldridge ETWFE + county pre-period trend,-0.053056776101923095,0.015414885490647998,10,-0.01882094530563755,0.01746726061034977
High access vs all other counties,"STEM births per 1,000 est. births",Wooldridge ETWFE + county pre-period trend,-0.03201938821626757,0.07564802039614804,20,0.02181431608994024,0.027466175666432554
High access vs all other counties,"STEM births per 1,000 est. births",Wooldridge ETWFE + county pre-period trend,0.016420257563399928,0.05473745345183979,30,0.03557885550761986,0.009774794869499967
High access vs all other counties,"STEM births per 1,000 est. births",Wooldridge ETWFE + county pre-period trend,-0.0034858173561554094,0.036576158054733646,40,0.01654517034928912,0.01021989168645129
High access vs all other counties,"STEM births per 1,000 est. births",Wooldridge ETWFE + county pre-period trend,-0.024317325062829825,0.028598118016976842,50,0.0021403964770735076,0.013498837520358844
High access vs all other counties,County population,Wooldridge ETWFE,-173741.98975935043,-4574.513224063514,-50,-89158.25149170696,43154.96850389972
High access vs all other counties,County population,Wooldridge ETWFE,-133911.79986212496,-7085.759706557743,-40,-70498.77978434134,32353.581672338572
High access vs all other counties,County population,Wooldridge ETWFE,-89011.47740775414,-7034.658863660741,-30,-48023.06813570744,20912.45371022791
High access vs all other counties,County population,Wooldridge ETWFE,-53334.12230302962,-3376.052983507354,-20,-28355.087643268485,12744.405438653639
High access vs all other counties,County population,Wooldridge ETWFE,0,0,-10,0,0
High access vs all other counties,County population,Wooldridge ETWFE,1062.2977808701908,76696.93878001571,0,38879.618280442955,19294.551275292226
High access vs all other counties,County population,Wooldridge ETWFE,2789.100102935554,148460.40480391355,10,75624.75245342455,37161.04711759643
High access vs all other counties,County population,Wooldridge ETWFE,11141.403841130377,240617.47298295112,20,125879.43841204075,58539.81355658692
High access vs all other counties,County population,Wooldridge ETWFE,18195.32081528136,359408.769654666,30,188802.0452349737,87044.24715290425
High access vs all other counties,County population,Wooldridge ETWFE,30584.382289952104,426991.1239665537,40,228787.75312825292,101124.16879505145
High access vs all other counties,County population,Wooldridge ETWFE,31209.94266922481,558823.5990978365,50,295016.77088353067,134595.320517503
High access vs all other counties,County population,Wooldridge ETWFE + county pre-period trend,-89743.51103919376,-12115.922529621166,-50,-50929.716784407465,19802.95625244199
High access vs all other counties,County population,Wooldridge ETWFE + county pre-period trend,-70860.88827170935,-12793.869236300245,-40,-41827.3787540048,14813.015060053345
High access vs all other counties,County population,Wooldridge ETWFE + county pre-period trend,-46971.33685003561,-10846.264714637502,-30,-28908.800782336555,9215.579626377068
High access vs all other counties,County population,Wooldridge ETWFE + county pre-period trend,-32328.342872735364,-5267.565060985962,-20,-18797.953966860663,6903.259645854439
High access vs all other counties,County population,Wooldridge ETWFE + county pre-period trend,0,0,-10,0,0
High access vs all other counties,County population,Wooldridge ETWFE + county pre-period trend,2642.0311552996864,56002.93805055073,0,29322.484602925208,13612.476248788531
High access vs all other counties,County population,Wooldridge ETWFE + county pre-period trend,6161.862199828349,106859.10799805945,10,56510.4850989439,25688.072907712016
High access vs all other counties,County population,Wooldridge ETWFE + county pre-period trend,15186.187299295736,179229.88746190176,20,97208.03738059875,41847.88269454236
High access vs all other counties,County population,Wooldridge ETWFE + county pre-period trend,23553.983097263626,277593.0379558728,30,150573.5105265682,64805.88134148192
High access vs all other counties,County population,Wooldridge ETWFE + county pre-period trend,36821.749698309315,325182.4197874592,40,181002.08474288424,73561.39543090557
High access vs all other counties,County population,Wooldridge ETWFE + county pre-period trend,39782.8828359695,435565.054806428,50,237673.96882119874,100964.83978838226
