GEOID,decade,population,n_inventors,any_allsci,inv_per_100k,log1p_n_inventors,lon_county,lat_county
17087,1880,13078,0,0,0,0,-88.88174745715301,37.45929143846517
17087,1890,15013,0,0,0,0,-88.88174745715301,37.45929143846517
17087,1900,15667,0,0,0,0,-88.88174745715301,37.45929143846517
17087,1910,14331,0,0,0,0,-88.88174745715301,37.45929143846517
17087,1920,12022,0,0,0,0,-88.88174745715301,37.45929143846517
17087,1930,10203,1,1,9.801038910124474,0.6931471805599453,-88.88174745715301,37.45929143846517
17087,1940,10727,0,0,0,0,-88.88174745715301,37.45929143846517
17087,1950,8729,0,0,0,0,-88.88174745715301,37.45929143846517
17087,1960,6928,0,0,0,0,-88.88174745715301,37.45929143846517
17087,1970,7550,0,0,0,0,-88.88174745715301,37.45929143846517
17087,1980,9624,0,0,0,0,-88.88174745715301,37.45929143846517
17087,1990,11347,0,0,0,0,-88.88174745715301,37.45929143846517
17087,2000,12878,0,0,0,0,-88.88174745715301,37.45929143846517
17089,1800,NA,0,0,NA,0,-88.42866132913339,41.93819532232066
17089,1810,NA,0,0,NA,0,-88.42866132913339,41.93819532232066
17089,1820,NA,0,0,NA,0,-88.42866132913339,41.93819532232066
17089,1830,NA,0,0,NA,0,-88.42866132913339,41.93819532232066
17089,1840,NA,0,0,NA,0,-88.42866132913339,41.93819532232066
17089,1850,16703,1,1,5.9869484523738254,0.6931471805599453,-88.42866132913339,41.93819532232066
17089,1860,30062,1,1,3.326458652118954,0.6931471805599453,-88.42866132913339,41.93819532232066
17089,1870,39091,2,1,5.116267171471694,1.0986122886681098,-88.42866132913339,41.93819532232066
17089,1880,44939,1,1,2.2252386568459466,0.6931471805599453,-88.42866132913339,41.93819532232066
17089,1890,65061,2,1,3.074038210294954,1.0986122886681098,-88.42866132913339,41.93819532232066
17089,1900,78792,0,0,0,0,-88.42866132913339,41.93819532232066
17089,1910,91862,1,1,1.0885894058479022,0.6931471805599453,-88.42866132913339,41.93819532232066
17089,1920,99499,4,1,4.020140905938753,1.6094379124341003,-88.42866132913339,41.93819532232066
17089,1930,125327,7,1,5.585388623361287,2.0794415416798357,-88.42866132913339,41.93819532232066
17089,1940,130206,5,1,3.8400688140331476,1.791759469228055,-88.42866132913339,41.93819532232066
17089,1950,150388,6,1,3.9896800276617816,1.9459101490553132,-88.42866132913339,41.93819532232066
17089,1960,208246,1,1,0.48020130038512143,0.6931471805599453,-88.42866132913339,41.93819532232066
17089,1970,251005,1,1,0.39839843827812194,0.6931471805599453,-88.42866132913339,41.93819532232066
17089,1980,278405,1,1,0.35918895134785656,0.6931471805599453,-88.42866132913339,41.93819532232066
17089,1990,317471,0,0,0,0,-88.42866132913339,41.93819532232066
17089,2000,404119,0,0,0,0,-88.42866132913339,41.93819532232066
17091,1800,NA,0,0,NA,0,-87.86208700821535,41.13768188520332
17091,1810,NA,0,0,NA,0,-87.86208700821535,41.13768188520332
17091,1820,NA,0,0,NA,0,-87.86208700821535,41.13768188520332
17091,1830,NA,0,0,NA,0,-87.86208700821535,41.13768188520332
17091,1840,NA,0,0,NA,0,-87.86208700821535,41.13768188520332
17091,1850,NA,0,0,NA,0,-87.86208700821535,41.13768188520332
17091,1860,15412,0,0,0,0,-87.86208700821535,41.13768188520332
17091,1870,24352,0,0,0,0,-87.86208700821535,41.13768188520332
17091,1880,25047,0,0,0,0,-87.86208700821535,41.13768188520332
17091,1890,28732,0,0,0,0,-87.86208700821535,41.13768188520332
17091,1900,37154,1,1,2.691500242235022,0.6931471805599453,-87.86208700821535,41.13768188520332
17091,1910,40752,0,0,0,0,-87.86208700821535,41.13768188520332
17091,1920,44940,2,1,4.4503782821539835,1.0986122886681098,-87.86208700821535,41.13768188520332
17091,1930,50095,0,0,0,0,-87.86208700821535,41.13768188520332
17091,1940,60877,1,1,1.642656504098428,0.6931471805599453,-87.86208700821535,41.13768188520332
17091,1950,73524,0,0,0,0,-87.86208700821535,41.13768188520332
17091,1960,92063,1,1,1.0862127021713393,0.6931471805599453,-87.86208700821535,41.13768188520332
