"country","iso3","year","births","n_allsci","rate_per_1000_mort","rate_per_1000_deaths","rate_per_100k_births"
"Argentina","ARG",1868,82250,2,0.0406752084604434,0.0406752084604434,2.43161094224924
"Argentina","ARG",1869,84590,2,0.0395499218889043,0.0395491398062092,2.36434566733656
"Argentina","ARG",1870,86200,7,0.135840561991811,0.135843198137008,8.12064965197216
"Argentina","ARG",1871,87740,1,0.0190650499504309,0.0190657769304099,1.13973102347846
"Argentina","ARG",1872,96600,5,0.0865830851284893,0.0865800865800866,5.175983436853
"Argentina","ARG",1873,99000,2,0.0337934879948634,0.0337952010814464,2.02020202020202
"Argentina","ARG",1874,101900,2,0.0328315576932548,0.0328407224958949,1.96270853778214
"Argentina","ARG",1875,105000,2,0.031862354628007,0.0318674314850223,1.9047619047619
"Argentina","ARG",1876,108200,3,0.0463800380316312,0.0463821892393321,2.77264325323475
"Argentina","ARG",1877,111200,3,0.0451290691377339,0.0451195668521582,2.69784172661871
"Argentina","ARG",1878,114600,2,0.0292543076968084,0.0292611558156547,1.74520069808028
"Argentina","ARG",1879,118300,4,0.0566788998625537,0.0566732785491641,3.38123415046492
"Argentina","ARG",1880,122000,8,0.109920307776862,0.109935412944895,6.55737704918033
"Argentina","ARG",1881,125500,4,0.0535396394105286,0.0535546927299505,3.18725099601594
"Argentina","ARG",1882,129500,5,0.064995840266223,0.0650026001040042,3.86100386100386
"Argentina","ARG",1883,132000,5,0.0639026634630131,0.0638977635782748,3.78787878787879
"Argentina","ARG",1884,134200,4,0.0503917962155761,0.0503778337531486,2.9806259314456
"Argentina","ARG",1885,136700,4,0.0495773530651199,0.0495724377246251,2.92611558156547
"Argentina","ARG",1886,139200,9,0.108840246704559,0.108853410740203,6.46551724137931
"Argentina","ARG",1887,141500,9,0.106395555030145,0.106395555030145,6.36042402826855
"Argentina","ARG",1888,145000,4,0.0459537705068701,0.0459453250631748,2.75862068965517
"Argentina","ARG",1889,148500,4,0.0445925909410151,0.0445930880713489,2.69360269360269
"Argentina","ARG",1890,152200,4,0.043240438458046,0.0432338953739732,2.6281208935611
"Argentina","ARG",1891,155900,7,0.0740270727580372,0.0740270727580372,4.49005772931366
"Argentina","ARG",1892,159700,2,0.020732478464138,0.0207361327112494,1.25234815278647
"Argentina","ARG",1893,165400,5,0.0501489423588057,0.0501504513540622,3.0229746070133
"Argentina","ARG",1894,171300,4,0.0388980191183764,0.0388991539434017,2.33508464681845
"Argentina","ARG",1895,177400,6,0.0564546480993602,0.0564599604780277,3.38218714768884
"Argentina","ARG",1896,183900,6,0.0536715835800735,0.0536672629695885,3.2626427406199
"Argentina","ARG",1897,190700,5,0.0425264088999269,0.0425206225019134,2.62191924488726
"Argentina","ARG",1898,197200,12,0.0973409691915832,0.097323600973236,6.08519269776876
"Argentina","ARG",1899,204000,1,0.007735447689035,0.00773455023590378,0.490196078431373
"Argentina","ARG",1900,211100,7,0.051638413077797,0.05163765122455,3.31596399810516
"Argentina","ARG",1901,218600,5,0.0352219334023683,0.0352211890673429,2.28728270814273
"Argentina","ARG",1902,225700,9,0.0601813464573247,0.0601805416248746,3.98759415152858
"Argentina","ARG",1903,231800,6,0.0383298410589257,0.0383313102919568,2.58843830888697
"Argentina","ARG",1904,238200,4,0.0244243486331524,0.0244244977712646,1.67926112510495
"Argentina","ARG",1905,244800,6,0.0350487762135639,0.0350508236943568,2.45098039215686
"Argentina","ARG",1906,251600,8,0.0447437302847938,0.0447452318362325,3.17965023847377
"Argentina","ARG",1907,257700,5,0.0268905393704387,0.0268903947509949,1.94024058983314
"Argentina","ARG",1908,263900,5,0.0258824625610179,0.0258825965420851,1.89465706707086
"Argentina","ARG",1909,270200,5,0.0249351685617395,0.0249351685617395,1.85048112509252
"Argentina","ARG",1910,276600,11,0.0528955505224638,0.0528947874591268,3.97686189443239
"Argentina","ARG",1911,282800,7,0.0325185123245162,0.0325173038509778,2.47524752475248
"Argentina","ARG",1912,289300,7,0.0314078806859481,0.0314098537198241,2.41963359834082
"Argentina","ARG",1913,296200,7,0.0297397769516729,0.0297404087181884,2.36326806212019
"Argentina","ARG",1914,301800,7,0.0288474218646974,0.0288469463446798,2.3194168323393
"Argentina","ARG",1915,305500,14,0.0568629521620107,0.0568643379366369,4.58265139116203
"Argentina","ARG",1916,308000,5,0.0201434211586496,0.0201434211586496,1.62337662337662
"Argentina","ARG",1917,309900,8,0.032333552932047,0.032332376833852,2.58147789609551
"Argentina","ARG",1918,311500,11,0.045292279313369,0.0452935847813555,3.53130016051364
"Argentina","ARG",1919,313600,15,0.0607656471541422,0.0607656471541422,4.78316326530612
"Argentina","ARG",1920,316500,10,0.0394812168111021,0.0394819962097284,3.15955766192733
"Argentina","ARG",1921,320700,9,0.0341842683996825,0.0341854370038364,2.80636108512629
"Argentina","ARG",1922,326500,12,0.0443640961369963,0.0443639321231839,3.67534456355283
"Argentina","ARG",1923,333300,11,0.0398374631503466,0.0398377517021585,3.3003300330033
"Argentina","ARG",1924,340100,15,0.0537239662613492,0.0537249283667622,4.41046750955601
"Argentina","ARG",1925,346200,11,0.0391516199872579,0.0391500871979215,3.17735413056037
"Argentina","ARG",1926,351500,13,0.0453623931802876,0.0453641344174198,3.69843527738265
"Argentina","ARG",1927,356800,13,0.0454216703295168,0.0454211942280144,3.64349775784753
"Argentina","ARG",1928,359100,11,0.0370593724837528,0.0370594973384543,3.06321358952938
"Argentina","ARG",1929,360900,17,0.0562252980767641,0.0562243683026855,4.71044610695484
"Argentina","ARG",1930,365000,17,0.0547475814450785,0.0547468762076517,4.65753424657534
"Argentina","ARG",1931,369100,14,0.0445794565127402,0.0445845673704659,3.79301002438364
"Argentina","ARG",1932,373200,10,0.0311336380278708,0.0311633269967902,2.67952840300107
"Argentina","ARG",1933,377400,12,0.0365320157452988,0.036374658987572,3.17965023847377
"Argentina","ARG",1934,381500,12,0.0369477466493012,0.0367365681922547,3.14547837483617
"Argentina","ARG",1935,385600,15,0.046198765568984,0.0463291842974951,3.89004149377593
"Argentina","ARG",1936,389700,7,0.021002667338752,0.0209788114004855,1.79625352835515
"Argentina","ARG",1937,393900,9,0.026815083186347,0.0265714032653302,2.28484386900228
"Argentina","ARG",1938,398000,8,0.0235897738330434,0.0237805059302637,2.01005025125628
"Argentina","ARG",1939,402100,18,0.0516956162117452,0.0515227845202656,4.4764983834867
"Argentina","ARG",1940,406300,20,0.0565646052639022,0.0566540139368874,4.9224710804824
"Argentina","ARG",1941,410400,16,0.0446407396970568,0.0444197667962243,3.89863547758285
"Argentina","ARG",1942,414500,19,0.0521604014703743,0.0523315063210951,4.583835946924
"Argentina","ARG",1943,418600,14,0.0379401737659959,0.0377338148886852,3.34448160535117
"Argentina","ARG",1944,422800,22,0.059172552542537,0.0588203839366879,5.20340586565752
"Argentina","ARG",1945,426900,16,0.0421459672894611,0.042450452362633,3.747950339658
"Argentina","ARG",1946,431000,11,0.028781194890553,0.0284679089026915,2.55220417633411
"Argentina","ARG",1947,435200,11,0.0281292513527613,0.0284061563888028,2.52757352941176
"Argentina","ARG",1948,439300,14,0.0352668821305227,0.0352210118493547,3.18688823127703
"Argentina","ARG",1949,443400,19,0.0474985750427487,0.047188555533479,4.2850699142986
"Argentina","ARG",1950,447500,14,0.0346253536732554,0.03451336160142,3.12849162011173
"Argentina","ARG",1951,450200,20,0.0490927656900479,0.0489212856513869,4.44247001332741
"Argentina","ARG",1952,455300,11,0.0266209753925384,0.0265117736376564,2.41598945750055
"Argentina","ARG",1953,460200,15,0.0358214943294574,0.0356480821331812,3.25945241199478
"Argentina","ARG",1954,464900,12,0.028302354048298,0.0280912027716653,2.58120025812003
"Argentina","ARG",1955,469300,14,0.0326449903930457,0.0325732899022801,2.98316641806947
"Argentina","ARG",1956,473600,15,0.0346004797933198,0.0342959050689348,3.16722972972973
"Argentina","ARG",1957,477600,17,0.0388314031841751,0.03926641105003,3.55946398659967
"Argentina","ARG",1958,481400,10,0.0226456967514748,0.0226444147551007,2.0772746157042
"Argentina","ARG",1959,485000,17,0.0381625409966709,0.0380075120729744,3.50515463917526
"Argentina","ARG",1960,488300,10,0.0222821364112391,0.022096517588828,2.04792135981978
"Argentina","ARG",1961,491400,19,0.0420478637472171,0.0415264239192202,3.86650386650387
"Argentina","ARG",1962,494500,8,0.0175861667212571,0.0172995415621486,1.61779575328615
"Argentina","ARG",1963,497700,12,0.0261986424736758,0.0256777865747973,2.41109101868596
"Argentina","ARG",1964,501300,14,0.0303299464893087,0.0296290025607924,2.79273887891482
"Argentina","ARG",1965,505600,9,0.0193179891261186,0.0188853449723015,1.78006329113924
"Argentina","ARG",1966,510900,10,0.0212197989211854,0.0207921821395155,1.95733020160501
"Argentina","ARG",1967,517400,10,0.0209224717808162,0.0205288224667433,1.93274062620796
"Argentina","ARG",1968,525300,9,0.0180282322116434,0.018194315287268,1.71330668189606
"Argentina","ARG",1969,535000,7,0.0141057934508816,0.0140935813803656,1.30841121495327
"Argentina","ARG",1970,547100,9,0.0177216635522484,0.0177012036818504,1.64503747029793
"Argentina","ARG",1971,562500,5,0.00956694276863497,0.00955328824181283,0.888888888888889
"Argentina","ARG",1972,581100,6,0.0110993745502441,0.0110813556191707,1.03252452245741
"Argentina","ARG",1973,602000,4,0.0071311671224671,0.00711769102103278,0.664451827242525
"Argentina","ARG",1974,624300,7,0.0120072111879763,0.0119830183511367,1.12125580650328
"Argentina","ARG",1975,646100,2,0.00330503124907046,0.00329935002804448,0.309549605324253
"Argentina","ARG",1976,664900,4,0.0063991297183583,0.00639447517345014,0.601594224695443
"Argentina","ARG",1977,679400,2,0.00311734302619192,0.00311934618503962,0.294377391816309
"Argentina","ARG",1978,688500,6,0.0091846903458189,0.00920344208734067,0.871459694989107
"Argentina","ARG",1979,692500,3,0.0045449174188505,0.0045578158946233,0.433212996389892
"Argentina","ARG",1981,689000,1,0.00151090723936095,0.0015148760831364,0.145137880986938
"Argentina","ARG",1982,685500,2,0.00302806409806083,0.00303329036171988,0.291757840991977
"Argentina","ARG",1984,683600,1,0.00151139135665511,0.00151128171802506,0.146284376828555
"Argentina","ARG",1987,697200,4,0.00590911776871713,0.00590868133004417,0.57372346528973
"Argentina","ARG",1993,719000,1,0.00142874491902588,0.00142722575857049,0.139082058414465
"Armenia","ARM",1846,28420,1,0.0540949908038516,0.0540979172301866,3.51864883884588
"Armenia","ARM",1848,28950,1,0.0530278926715452,0.0530222693531283,3.45423143350604
"Armenia","ARM",1849,29210,1,0.0525210084033613,0.0525210084033613,3.42348510783978
"Armenia","ARM",1864,33660,1,0.0451080337408092,0.04510599909788,2.9708853238265
"Armenia","ARM",1870,35630,1,0.0424430202453207,0.0424448217317487,2.80662363177098
"Armenia","ARM",1871,35950,1,0.0420362352347724,0.0420344682639765,2.78164116828929
"Armenia","ARM",1881,39520,1,0.0379867046533713,0.0379794910748196,2.53036437246964
"Armenia","ARM",1882,39880,1,0.0376194417274848,0.0376222723852521,2.50752256770311
"Armenia","ARM",1884,40640,1,0.0368677186255714,0.0368731563421829,2.46062992125984
"Armenia","ARM",1886,41390,1,0.0361519829362641,0.0361532899493854,2.41604252234839
"Armenia","ARM",1895,45050,1,0.0330240084541462,0.0330250990752972,2.21975582685905
"Armenia","ARM",1896,45410,1,0.0327407261893069,0.0327439423706614,2.20215811495265
"Armenia","ARM",1899,46500,1,0.0319121776870054,0.0319081046585833,2.1505376344086
"Armenia","ARM",1902,47610,1,0.0307976593778873,0.0307976593778873,2.10039907582441
"Armenia","ARM",1903,47990,1,0.0303849776670414,0.0303859009419629,2.08376745155241
"Armenia","ARM",1905,48750,1,0.0295910516659762,0.0295945546019532,2.05128205128205
"Armenia","ARM",1906,49140,1,0.0292021960051396,0.0292056074766355,2.03500203500204
"Armenia","ARM",1907,49520,2,0.0576584887710093,0.0576535024502739,4.03877221324717
"Armenia","ARM",1908,49910,2,0.056918435881382,0.0569151963574274,4.00721298337007
"Armenia","ARM",1909,50300,2,0.0561955605507165,0.0561955605507165,3.97614314115308
"Armenia","ARM",1910,50700,1,0.0277400205276152,0.0277392510402219,1.9723865877712
"Armenia","ARM",1911,51100,1,0.0273905064504643,0.0273897562311695,1.95694716242661
"Armenia","ARM",1912,51510,1,0.0270438380614977,0.0270416441319632,1.941370607649
"Armenia","ARM",1917,53580,2,0.0508388408744281,0.0508388408744281,3.73273609555804
"Armenia","ARM",1918,54010,1,0.0251092251293125,0.0251067034898318,1.85150897981855
"Armenia","ARM",1920,54870,1,0.0245092032058038,0.0245098039215686,1.82248952068526
"Armenia","ARM",1922,55750,2,0.0478549039312804,0.0478583393156257,3.58744394618834
"Armenia","ARM",1924,56640,1,0.0233666697822226,0.0233644859813084,1.76553672316384
"Armenia","ARM",1926,56580,1,0.0232142442602781,0.0232126276694522,1.76740897843761
"Armenia","ARM",1927,56060,1,0.0233426704014939,0.0233426704014939,1.78380306814128
"Armenia","ARM",1928,55460,3,0.0705268354608929,0.0705218617771509,5.40930400288496
"Armenia","ARM",1929,54910,4,0.0946342386675499,0.0946297610598533,7.2846476051721
"Armenia","ARM",1930,54370,3,0.0714268707887907,0.0714285714285714,5.51774875850653
"Armenia","ARM",1931,53830,2,0.0477611940298507,0.0475963826749167,3.71540033438603
"Armenia","ARM",1932,53290,2,0.0479168164067179,0.0475963826749167,3.75304935259899
"Armenia","ARM",1933,52750,1,0.024043085208694,0.0238151940938319,1.8957345971564
"Armenia","ARM",1936,51130,5,0.121695954826462,0.119654437983105,9.77899471934285
"Armenia","ARM",1937,50590,2,0.0489021468042447,0.04798809895146,3.95335046451868
"Armenia","ARM",1939,49510,2,0.0493949123240306,0.0483068450799478,4.03958796202787
"Armenia","ARM",1942,47890,1,0.0251212098374658,0.0244732140672034,2.08811860513677
