"GEOID","decade","population","n_inventors","inv_per_100k","lon_county","lat_county"
"01059",1930,25372,1,3.94135267223711,-87.8428405293438,34.4426256875399
"01059",1940,27552,0,0,-87.8428405293438,34.4426256875399
"01059",1950,25705,0,0,-87.8428405293438,34.4426256875399
"01059",1960,21988,0,0,-87.8428405293438,34.4426256875399
"01059",1970,23933,0,0,-87.8428405293438,34.4426256875399
"01059",1980,28350,0,0,-87.8428405293438,34.4426256875399
"01059",1990,27814,0,0,-87.8428405293438,34.4426256875399
"01059",2000,31223,0,0,-87.8428405293438,34.4426256875399
"05053",1870,3943,0,0,-92.4231557138384,34.2901210311759
"05053",1880,6185,0,0,-92.4231557138384,34.2901210311759
"05053",1890,7786,0,0,-92.4231557138384,34.2901210311759
"05053",1900,7671,0,0,-92.4231557138384,34.2901210311759
"05053",1910,9425,0,0,-92.4231557138384,34.2901210311759
"05053",1920,10710,0,0,-92.4231557138384,34.2901210311759
"05053",1930,9834,0,0,-92.4231557138384,34.2901210311759
"05053",1940,10477,0,0,-92.4231557138384,34.2901210311759
"05053",1950,9024,0,0,-92.4231557138384,34.2901210311759
"05053",1960,8294,0,0,-92.4231557138384,34.2901210311759
"05053",1970,9711,0,0,-92.4231557138384,34.2901210311759
"05053",1980,13008,0,0,-92.4231557138384,34.2901210311759
"05053",1990,13948,0,0,-92.4231557138384,34.2901210311759
"05053",2000,16464,0,0,-92.4231557138384,34.2901210311759
"20059",1870,10385,1,9.62927298988926,-95.2864423530465,38.5645062663455
"20059",1880,16797,0,0,-95.2864423530465,38.5645062663455
"20059",1890,20279,0,0,-95.2864423530465,38.5645062663455
"20059",1900,21354,0,0,-95.2864423530465,38.5645062663455
"20059",1910,20884,0,0,-95.2864423530465,38.5645062663455
"20059",1920,21946,1,4.55663902305659,-95.2864423530465,38.5645062663455
"20059",1930,22024,2,9.08100254268071,-95.2864423530465,38.5645062663455
"20059",1940,20889,0,0,-95.2864423530465,38.5645062663455
"20059",1950,19928,1,5.01806503412284,-95.2864423530465,38.5645062663455
"20059",1960,19548,0,0,-95.2864423530465,38.5645062663455
"20059",1970,20007,0,0,-95.2864423530465,38.5645062663455
"20059",1980,22062,0,0,-95.2864423530465,38.5645062663455
"20059",1990,21994,0,0,-95.2864423530465,38.5645062663455
"20059",2000,24784,0,0,-95.2864423530465,38.5645062663455
"48153",1870,NA,0,NA,-101.303146109562,34.0722839069942
"48153",1880,3,0,0,-101.303146109562,34.0722839069942
"48153",1890,529,0,0,-101.303146109562,34.0722839069942
"48153",1900,2020,1,49.5049504950495,-101.303146109562,34.0722839069942
"48153",1910,4638,1,21.5610176800345,-101.303146109562,34.0722839069942
"48153",1920,9758,0,0,-101.303146109562,34.0722839069942
"48153",1930,12409,0,0,-101.303146109562,34.0722839069942
"48153",1940,10659,1,9.38174312787316,-101.303146109562,34.0722839069942
